Prec [mm],ET [mm/h],T [C],Q [m3/s],LAT [C]
0,0.091375,11.29,0.18825,11.63065417
0,0.091375,13.44,0.19075,11.63065417
0,0.091375,11.26,0.192,11.63065417
0,0.091375,11.44,0.18825,11.63065417
0,0.048958333,11.83,0.187,11.63065417
0,0.048958333,11.96,0.19075,11.63065417
0,0.048958333,11.71,0.1895,11.63065417
0,0.048958333,12.09,0.192,11.63065417
0,0.048958333,13.58,0.192,11.63065417
0,0.048958333,14.8,0.192,11.63065417
0,0.048958333,16.49,0.192,11.63065417
0,0.091375,17.81,0.192,11.63065417
0,0.091375,17.84,0.18825,11.63065417
0,0.091375,17.43,0.187,11.63065417
0,0.091375,15.62,0.187,11.63065417
0,0.091375,13.51,0.187,11.63065417
0,0.091375,13.18,0.18825,11.63065417
0,0.091375,14.29,0.1995,11.63065417
0,0.091375,14.33,0.1945,11.63065417
0,0.091375,14.82,0.197,11.63065417
0,0.091375,14.95,0.19825,11.63065417
0,0.091375,15.23,0.205,11.63065417
0,0.091375,14.99,0.20925,11.63065417
0,0.091375,14.67,0.213,11.63065417
0,0.048958333,13.94,0.2155,11.63065417
0,0.048958333,15.07,0.218,11.63065417
0,0.048958333,13.46,0.22175,11.63065417
0,0.048958333,14.27,0.228,11.63065417
0,0.069416667,14.79,0.234,11.63065417
0,0.069416667,15.19,0.23775,11.63065417
0,0.069416667,14.51,0.239,11.63065417
0,0.069416667,15.76,0.239,11.63065417
0,0.069416667,16.27,0.239,11.63065417
0,0.069416667,17.23,0.24025,11.63065417
0,0.069416667,17.85,0.23775,11.63065417
0,0.048958333,17.65,0.234,11.63065417
0,0.048958333,17.97,0.23775,11.63065417
0,0.048958333,19,0.24275,11.63065417
0,0.048958333,18.75,0.23525,11.63065417
0,0.048958333,19.5,0.234,11.63065417
0,0.048958333,17.96,0.239,11.63065417
0,0.048958333,17.6,0.23525,11.63065417
0,0.048958333,16.97,0.25125,11.63065417
0,0.048958333,17.17,0.261,11.63065417
0,0.048958333,16.6,0.261,11.63065417
0,0.048958333,16.33,0.261,11.63065417
0,0.048958333,16.44,0.261,11.63065417
0,0.048958333,16.12,0.261,11.63065417
0,0.069416667,14.92,0.261,11.63065417
0,0.069416667,14.2,0.30975,11.63065417
0,0.069416667,15.48,0.302,11.63065417
0,0.069416667,15.24,0.30025,11.63065417
0,0.060541667,14.79,0.3105,11.63065417
0,0.060541667,15.22,0.33,11.63065417
0,0.060541667,15.17,0.3555,11.63065417
0,0.060541667,15.12,0.3845,11.63065417
0,0.060541667,15.2,0.52875,11.63065417
0,0.060541667,15.74,0.6065,11.63065417
0,0.060541667,16.38,0.606,11.63065417
0,0.069416667,17.16,0.614,11.63065417
0,0.069416667,16.29,0.614,11.63065417
0,0.069416667,18.02,0.61,11.63065417
0,0.069416667,17.8,0.6025,11.63065417
0,0.069416667,16.69,0.62125,11.63065417
0,0.069416667,15.5,0.627,11.63065417
0,0.069416667,15.89,0.60075,11.63065417
0,0.069416667,15.18,0.584,11.63065417
0,0.069416667,15.19,0.588,11.63065417
0,0.069416667,15.19,0.58225,11.63065417
0,0.069416667,14.9,0.5605,11.63065417
0,0.069416667,14.71,0.53925,11.63065417
0,0.069416667,14.42,0.5175,11.63065417
0,0.060541667,14.45,0.49825,11.63065417
0,0.006458333,6.113,0.4815,11.63065417
0,0.006458333,13.69,0.4745,11.63065417
0,0.006458333,13.44,0.46225,11.63065417
0,0.081583333,13.03,0.4525,11.63065417
0,0.081583333,12.65,0.4405,11.63065417
0,0.081583333,12.63,0.434,11.63065417
0,0.081583333,12.56,0.4275,11.63065417
0,0.081583333,12.78,0.4225,11.63065417
0,0.081583333,13.57,0.4145,11.63065417
0,0.081583333,14.35,0.4095,11.63065417
0,0.006458333,15.22,0.405,11.63065417
0,0.006458333,16.79,0.405,11.63065417
0,0.006458333,16.27,0.398,11.63065417
0,0.006458333,17.73,0.3965,11.63065417
0,0.006458333,16.34,0.38675,11.63065417
0,0.006458333,15.85,0.385,11.63065417
0,0.006458333,14.79,0.385,11.63065417
0,0.006458333,15.62,0.3805,11.63065417
0,0.006458333,14.07,0.376,11.63065417
0,0.006458333,11.11,0.373,11.63065417
0,0.006458333,8.47,0.3685,11.63065417
0,0.006458333,7.61,0.367,11.63065417
0,0.006458333,6.987,0.36,11.63065417
0,0.081583333,6.579,0.36,11.63065417
0,0.081583333,5.508,0.3585,11.63065417
0,0.081583333,6.395,0.3495,11.63065417
0,0.081583333,6.095,0.3405,11.63065417
0,0.080416667,6.575,0.336,11.63065417
0,0.080416667,7.19,0.336,11.63065417
0,0.080416667,8.44,0.336,11.63065417
0,0.080416667,9.19,0.33,11.63065417
0,0.080416667,9.84,0.33,11.63065417
0,0.080416667,11.26,0.3225,11.63065417
0,0.080416667,13.29,0.315,11.63065417
0,0.081583333,15.62,0.309,11.63065417
0,0.081583333,17.91,0.3045,11.63065417
0,0.081583333,15.86,0.3,11.63065417
0,0.081583333,16.47,0.29625,11.63065417
0,0.081583333,18.13,0.295,11.63065417
0,0.081583333,16.81,0.295,11.63065417
0,0.081583333,16.2,0.295,11.63065417
0,0.081583333,15.7,0.295,11.63065417
0,0.081583333,13.41,0.295,11.63065417
0,0.081583333,10.9,0.295,11.63065417
0,0.081583333,9.84,0.295,11.63065417
0,0.081583333,8.17,0.2935,11.63065417
0,0.081583333,6.654,0.289,11.63065417
0,0.080416667,6.433,0.2875,11.63065417
0,0.080416667,13.02,0.283,11.63065417
0,0.080416667,4.971,0.283,11.63065417
